Date,Open,High,Low,Close,GAP up/down,Range,O-C,C-C,LOD>P.Close,P.Close>High,,,
3/16/20,"2,508.59","2,562.98","2,380.94","2,386.13",-202.43,182.04,-122.46,-324.89,-330.08,148.04,,,
3/17/20,"2,425.66","2,553.93","2,367.04","2,529.19",39.53,186.89,103.53,143.06,-19.09,-167.8,,,
3/18/20,"2,436.50","2,453.57","2,280.52","2,398.10",-92.69,173.05,-38.4,-131.09,-248.67,75.62,,,
3/19/20,"2,393.48","2,466.97","2,319.78","2,409.39",-4.62,147.19,15.91,11.29,-78.32,-68.87,,,
3/20/20,"2,431.94","2,453.01","2,295.56","2,304.92",22.55,157.45,-127.02,-104.47,-113.83,-43.62,,,
3/23/20,"2,290.71","2,300.73","2,191.86","2,237.40",-14.21,108.87,-53.31,-67.52,-113.06,4.19,,,
3/24/20,"2,344.44","2,449.71","2,344.44","2,447.33",107.04,105.27,102.89,209.93,107.04,-212.31,,,
3/25/20,"2,457.77","2,571.42","2,407.53","2,475.56",10.44,163.89,17.79,28.23,-39.8,-124.09,,,
3/26/20,"2,501.29","2,637.01","2,500.72","2,630.07",25.73,136.29,128.78,154.51,25.16,-161.45,,,
3/27/20,"2,555.87","2,615.91","2,520.02","2,541.47",-74.2,95.89,-14.4,-88.6,-110.05,14.16,,,
3/30/20,"2,558.98","2,631.80","2,545.28","2,626.65",17.51,86.52,67.67,85.18,3.81,-90.33,,,
3/31/20,"2,614.69","2,641.39","2,571.15","2,584.59",-11.96,70.24,-30.1,-42.06,-55.5,-14.74,,,
4/1/20,"2,498.08","2,522.75","2,447.49","2,470.50",-86.51,75.26,-27.58,-114.09,-137.1,61.84,,,
4/2/20,"2,458.54","2,533.22","2,455.79","2,526.90",-11.96,77.43,68.36,56.4,-14.71,-62.72,,,
4/3/20,"2,514.92","2,538.18","2,459.96","2,488.65",-11.98,78.22,-26.27,-38.25,-66.94,-11.28,,,
4/6/20,"2,578.28","2,676.85","2,574.57","2,663.68",89.63,102.28,85.4,175.03,85.92,-188.2,,,
4/7/20,"2,738.65","2,756.89","2,657.67","2,659.41",74.97,99.22,-79.24,-4.27,-6.01,-93.21,,,
4/8/20,"2,685.00","2,760.75","2,663.30","2,749.98",25.59,97.45,64.98,90.57,3.89,-101.34,,,
4/9/20,"2,776.99","2,818.57","2,762.36","2,789.82",27.01,56.21,12.83,39.84,12.38,-68.59,,,
4/13/20,"2,782.46","2,782.46","2,721.17","2,761.63",-7.36,61.29,-20.83,-28.19,-68.65,7.36,,,
4/14/20,"2,805.10","2,851.85","2,805.10","2,846.06",43.47,46.75,40.96,84.43,43.47,-90.22,,,
4/15/20,"2,795.64","2,801.88","2,761.54","2,783.36",-50.42,40.34,-12.28,-62.7,-84.52,44.18,,,
4/16/20,"2,799.34","2,806.51","2,764.32","2,799.55",15.98,42.19,0.21,16.19,-19.04,-23.15,,,
4/17/20,"2,842.43","2,879.22","2,830.88","2,874.56",42.88,48.34,32.13,75.01,31.33,-79.67,,,
4/20/20,"2,845.62","2,868.98","2,820.43","2,823.16",-28.94,48.55,-22.46,-51.4,-54.13,5.58,,,
4/21/20,"2,784.81","2,785.54","2,727.10","2,736.56",-38.35,58.44,-48.25,-86.6,-96.06,37.62,,,
4/22/20,"2,787.89","2,815.10","2,775.95","2,799.31",51.33,39.15,11.42,62.75,39.39,-78.54,,,
4/23/20,"2,810.42","2,844.90","2,794.26","2,797.80",11.11,50.64,-12.62,-1.51,-5.05,-45.59,,,
4/24/20,"2,812.64","2,842.71","2,791.76","2,836.74",14.84,50.95,24.1,38.94,-6.04,-44.91,,,
4/27/20,"2,854.65","2,887.72","2,852.89","2,878.48",17.91,34.83,23.83,41.74,16.15,-50.98,,,
4/28/20,"2,909.96","2,921.15","2,860.71","2,863.39",31.48,60.44,-46.57,-15.09,-17.77,-42.67,,,
4/29/20,"2,918.46","2,954.86","2,912.16","2,939.51",55.07,42.7,21.05,76.12,48.77,-91.47,,,
4/30/20,"2,930.91","2,930.91","2,892.47","2,912.43",-8.6,38.44,-18.48,-27.08,-47.04,8.6,,,
5/1/20,"2,869.09","2,869.09","2,821.61","2,830.71",-43.34,47.48,-38.38,-81.72,-90.82,43.34,,,
5/4/20,"2,815.01","2,844.24","2,797.85","2,842.74",-15.7,46.39,27.73,12.03,-32.86,-13.53,,,
5/5/20,"2,868.88","2,898.23","2,863.55","2,868.44",26.14,34.68,-0.44,25.7,20.81,-55.49,,,
5/6/20,"2,883.14","2,891.11","2,847.65","2,848.42",14.7,43.46,-34.72,-20.02,-20.79,-22.67,,,
5/7/20,"2,878.26","2,901.92","2,876.48","2,881.19",29.84,25.44,2.93,32.77,28.06,-53.5,,,
5/8/20,"2,908.83","2,932.16","2,902.88","2,929.80",27.64,29.28,20.97,48.61,21.69,-50.97,,,
5/11/20,"2,915.46","2,944.25","2,903.44","2,930.32",-14.34,40.81,14.86,0.52,-26.36,-14.45,,,
5/12/20,"2,939.50","2,945.82","2,869.59","2,870.12",9.18,76.23,-69.38,-60.2,-60.73,-15.5,,,
5/13/20,"2,865.86","2,874.14","2,793.15","2,820.00",-4.26,80.99,-45.86,-50.12,-76.97,-4.02,,,
5/14/20,"2,794.54","2,852.80","2,766.64","2,852.50",-25.46,86.16,57.96,32.5,-53.36,-32.8,,,
5/15/20,"2,829.95","2,865.01","2,816.78","2,863.70",-22.55,48.23,33.75,11.2,-35.72,-12.51,,,
5/18/20,"2,913.86","2,968.09","2,913.86","2,953.91",50.16,54.23,40.05,90.21,50.16,-104.39,,,
5/19/20,"2,948.59","2,964.21","2,922.35","2,922.94",-5.32,41.86,-25.65,-30.97,-31.56,-10.3,,,
5/20/20,"2,953.63","2,980.29","2,953.63","2,971.61",30.69,26.66,17.98,48.67,30.69,-57.35,,,
5/21/20,"2,969.95","2,978.50","2,938.57","2,948.51",-1.66,39.93,-21.44,-23.1,-33.04,-6.89,,,
